user_id,account_id,event_date,provider,region,service,category,metric_name,metric_value,unit,currency,data_source
USR01362,ACC01362,2025-01-08,AWS,us-east-1,EC2,carbon,carbon_free_energy_pct,62.72420624603339,percent,,AWS Sustainability
USR01843,ACC01843,2025-03-03,GCP,europe-west1,Cloud SQL,health,availability,100.0,percent,,Google Cloud Monitoring
USR04681,ACC04681,2025-05-21,Azure,East US,Blob Storage,health,error_rate,0.5013870455092869,percent,,Azure Monitor
USR01885,ACC01885,2025-12-28,GCP,us-central1,Cloud Run,carbon,carbon_intensity,0.053249062030359944,kgCO2e_per_usage_hour,,Google Cloud Carbon Footprint
USR0067,ACC0067,2026-07-01,GCP,us-central1,Cloud SQL,health,availability,99.8987,percent,,Google Cloud Monitoring
USR03580,ACC03580,2026-06-13,AWS,ap-south-1,Lambda,health,error_rate,0.499772277381136,percent,,AWS/CloudWatch-style telemetry
USR03193,ACC03193,2025-11-22,Azure,East US,Blob Storage,cost,cloud_cost,2.3637503011791563,USD,USD,Azure Cost Management
USR09007,ACC09007,2026-06-14,GCP,europe-west1,Cloud SQL,health,latency,109.71226437416522,ms,,Google Cloud Monitoring
USR02957,ACC02957,2025-09-20,Azure,Central India,Blob Storage,cost,usage_amount,26.222209813739013,usage_units,USD,Azure Cost Management
USR09907,ACC09907,2026-01-03,AWS,ap-south-1,Lambda,carbon,carbon_intensity,0.0475407009701248,kgCO2e_per_usage_hour,,AWS Sustainability
USR01050,ACC01050,2025-10-27,GCP,europe-west1,Cloud Storage,cost,usage_amount,18.880065021314365,usage_units,USD,Google Cloud Billing Export
USR00455,ACC00455,2025-04-16,AWS,eu-west-1,S3,health,availability,100.0,percent,,AWS/CloudWatch-style telemetry
USR06930,ACC06930,2025-08-08,GCP,europe-west1,Cloud Storage,health,error_rate,0.6205563635019727,percent,,Google Cloud Monitoring
USR04075,ACC04075,2025-12-18,GCP,europe-west1,Cloud SQL,health,latency,166.84717344726857,ms,,Google Cloud Monitoring
USR0048,ACC0048,2026-07-27,Azure,Central India,Functions,cost,usage_hours,10.2795,hours,USD,Azure Cost Management
USR0060,ACC0060,2026-07-17,GCP,europe-west1,Cloud SQL,cost,usage_hours,13.302,hours,USD,Google Cloud Billing Export
USR03040,ACC03040,2025-12-07,GCP,us-central1,Cloud Run,carbon,co2e_emissions,0.633347703446922,kgCO2e,,Google Cloud Carbon Footprint
USR05153,ACC05153,2026-07-03,AWS,eu-west-1,Lambda,carbon,carbon_intensity,0.043246679946061045,kgCO2e_per_usage_hour,,AWS Sustainability
USR07713,ACC07713,2025-10-15,AWS,us-east-1,EC2,health,availability,100.0,percent,,AWS/CloudWatch-style telemetry
USR06938,ACC06938,2026-02-20,AWS,ap-south-1,EC2,carbon,carbon_free_energy_pct,74.0498839830621,percent,,AWS Sustainability
